route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,weelchair
100100191:191,442,191,Porte de Vanves - Malakoff Rue Etienne Dolet - Clamart Place du Garde,,3,,f59fb3,000000,oui
100100192:192,442,192,Robinson - Rungis Marché International,,3,,77c695,000000,non
100100194:194,442,194,Porte d'Orléans - Châtenay-Malabry Lycée Polyvalent,,3,,f68f4b,000000,oui
100100195:195,442,195,Châtillon-Montrouge - Clamart-Fontenay Division Leclerc - Robinson,,3,,bb4b9c,ffffff,non
100100196:196,442,196,Antony - Massy-Palaiseau,,3,,e0b03b,000000,oui
100100197:197,442,197,Porte d'Orléans - Massy Opéra-Théâtre,,3,,ed1b2a,ffffff,non
100100199:199,442,199,Massy-Palaiseau - Saulx-les-Chartreux Collège Pablo Picasso / Longjumeau La Rocade-Lycée,,3,,cec92a,000000,non
100100201:201,442,201,Joinville-le-Pont - Champigny Diderot-La Plage,,3,,8d653a,ffffff,oui
100100203:203,442,203,Neuilly-Plaisance - Neuilly-sur-Marne Cité des Bouleaux,,3,,f59fb3,000000,oui
100100206:206,442,206,Noisy-le-Grand Mont d'Est - Le Plessis-Trévise Place Gambetta - Emerainville-Pontault-Combault,,3,,8d653a,ffffff,oui
100100207:207,442,207,Noisy-le-Grand Mont d'Est - Hôpital de la Queue-en-Brie,,3,,dfb03a,000000,oui
100100210:210,442,210,Château de Vincennes - Villiers-sur-Marne-Le-Plessis-Trévise,,3,,ffcd01,000000,oui
100100211:211,442,211,Torcy - Chelles 2 Centre Commercial,,3,,f59fb3,000000,non
100100212:212,442,212,Champs-sur-Marne Pointe de Champs - Noisy-Champs Descartes - Emerainville-Pontault-Combault,,3,,87d3df,000000,non
100100213:213,442,213,Chelles-Gournay - Noisy-Champs Descartes - Lognes Le Village,,3,,9b993b,ffffff,non
100100214:214,442,214,Neuilly-Plaisance - Neuilly-sur-Marne Z.I. des Chanoux / Gagny Roger Salengro,,3,,c9a2cd,000000,oui
100100215:215,442,215,Porte de Montreuil - Vincennes République,,3,,77c695,000000,oui
100100216:216,442,216,Denfert-Rochereau - Rungis Marché International,,3,,ed1b2a,ffffff,non
100100217:217,442,217,Mairie d'Alfortville - Hôtel de Ville de Créteil,,3,,652c90,ffffff,non
100100220:220,442,220,Bry-sur-Marne - Torcy,,3,,bb499c,ffffff,non
100100221:221,442,221,Galliéni - Gagny Pointe de Gournay,,3,,f59fb3,000000,non
100100234:234,442,234,Fort d'Aubervilliers - Mairie de Livry-Gargan,,3,,f68f4b,000000,oui
100100235:235,442,235,Gabriel Péri - Colombes Europe,,3,,ffcd02,000000,non
100100237:237,442,237,Mairie de St-Ouen - L'Île-St-Denis Parc Départemental Collège Sisley,,3,,c9a2cd,000000,non
100100238:238,442,238,Pont de Levallois - Asnières Mourinoux / St-Gratien,,3,,f59eb3,000000,non
100100239:239,442,239,Porte de la Chapelle - Basilique de St-Denis Médiathèque,,3,,bb4b9c,ffffff,oui
100100241:241,442,241,Porte d'Auteuil - Suresnes Place de la Paix - Rueil-Malmaison,,3,,8d653a,ffffff,oui
100100244:244,442,244,Porte Maillot - Rueil-Malmaison,,3,,bb4b9c,ffffff,oui
100100247:247,442,247,Garonor - Stade Charles Sage,,3,,f68f4b,000000,non
100100248:248,442,248,Fort d'Aubervilliers - Drancy RER,,3,,c9a2cd,000000,non
100100249:249,442,249,Porte des Lilas • Porte de la Villette - Dugny Centre-ville,,3,,cec92a,000000,oui
100100250:250,442,250,Fort d'Aubervilliers - Gonesse La Fontaine Cypière Z.I.,,3,,b43c95,ffffff,non
100100251:251,442,251,Bobigny Benoît Frachon - Bobigny Pablo Picasso - Aulnay-sous-Bois,,3,,ed1b2a,ffffff,non
100100252:252,442,252,Porte de la Chapelle - Garges-Sarcelles,,3,,ed1b2a,ffffff,non
100100253:253,442,253,Stade de France St-Denis - Mairie de Stains,,3,,ffcd02,000000,oui
100100254:254,442,254,St-Denis Porte de Paris - Pierrefitte-Stains - Mairie de Montmagny,,3,,77c695,000000,oui
