stop_id,stop_name,stop_desc,zone_id
"StopArea:DUA8754622","Les Saules","Voie les Saules 94310   Orly","4"
"StopArea:DUA8768124","Le Vert de Maisons","Avenue de la Liberté 94700 Maisons Alfort","3"
"StopArea:DUA8768130","Vigneux-sur-Seine","Place Robert Lakota 91270 Vigneux Sur Seine","4"
"StopArea:DUA8768136","Évry","Avenue du Gl Patton 91000 Evry","5"
"StopArea:DUA8768137","Grigny","Route de Corbeil 91350 Grigny centre","5"
"StopArea:DUA8768148","Maisse","Rue de Milly 91720 Maisse","5"
"StopArea:DUA8768161","Villabé","Avenue de la Gare 91100 Villabé","5"
"StopArea:DUA8768162","Le Plessis Chenet","Gare SNCF 91830 Coudray Montceaux","5"
"StopArea:DUA8768185","Villeneuve-Saint-Georges Prairie","Chemin des Vaches","3"
"StopArea:DUA8768240","Livry-sur-Seine","Rue de Melun 77000 Livry-sur- Seine","5"
"StopArea:DUA8768250","Vosves","Rue de la Gare 77190 Dammarie Les Lys","5"
"StopArea:DUA8768310","Villeneuve-la-Guyard","","100"
"StopArea:DUA8768320","Étigny - Véron","","100"
"StopArea:DUA8768322","Saint-Julien-du-Sault","","100"
"StopArea:DUA8775805","Rueil-Malmaison","","3"
"StopArea:DUA8775812","Fontenay-sous-Bois","","3"
"StopArea:DUA8775818","La Varenne Saint-Hilaire - Chennevières-sur-Marne","","3"
"StopArea:DUA8775820","Boissy-Saint-Léger","","4"
"StopArea:DUA8775834","Noisy-le-Grand Champs","","4"
"StopArea:DUA8775837","Torcy","","5"
"StopArea:DUA8775863","Denfert Rochereau","","1"
"StopArea:DUA8775865","Gentilly","","2"
"StopArea:DUA8707090","Aéroport Orly Ouest","","3"
"StopArea:DUA8711320","Pantin","Avenue de la gare 93500 Pantin","2"
"StopArea:DUA8711371","Val de Fontenay","10 avenue du Val de Fontenay 94120 Fontenay-sous-Bois","3"
"StopArea:DUA8711384","Les Coquetiers","","3"
"StopArea:DUA8711387","Allée de la Tour Rendez-Vous","Boulevard d'Aulnay 93250 Villemomble","4"
"StopArea:DUA8711613","Longueville","Rue de Verdun 77650 Longueville","5"
"StopArea:DUA8711626","Guérard - La Celle-sur-Morin","PLACE DE LA GARE 77580 GUERARD","5"
"StopArea:DUA8711630","Coulommiers","Place du 8 mai 1945 77120 Coulommiers","5"
"StopArea:DUA8711631","Lagny - Thorigny","2 rue de la gare 77400 Thorigny-sur-Marne","5"
"StopArea:DUA8711655","Nanteuil-sur-Marne - Saâcy-sur-Marne","Avenue du Général Leclerc 77730 Saâcy-sur-Marne","5"
"StopArea:DUA8711663","Lizy-sur-Ourcq","","5"
"StopArea:DUA8711664","Crouy-sur-Ourcq","Rue du Houssoy 77840 Crouy-sur-Ourcq","5"
"StopArea:DUA8716478","Saint-Denis la Plaine Stade de France","Place aux Etoiles 93200 St Denis","2"
"StopArea:DUA8727101","Saint-Denis","Rue Ambroise Croizat 93200 St Denis","3"
"StopArea:DUA8727114","Épinay-sur-Seine","Place de la Nouvelle Gare, 93800 Epinay-sur-Seine","3"
"StopArea:DUA8727116","Pierrefitte-sur-Seine - Stains","1 Place du Général Leclerc 93380 Pierrefite sur Seine","4"
"StopArea:DUA8727139","Le Bourget","Place des Déportés, 93350 Le Bourget","3"
"StopArea:DUA8727145","Villepinte","Route Camille Pissaro, 93420 Villepinte","4"
"StopArea:DUA8727608","Montigny-lès-Cormeilles - Beauchamp","Place de la Gare, 95370 Montigny Les Cormeilles","4"
"StopArea:DUA8727610","Saint-Ouen-l'Aumône","rue du 8 mai 1945 95310 Saint-Ouen-l'Aumône","5"
"StopArea:DUA8727611","Chantilly - Gouvieux","","100"
"StopArea:DUA8727616","Chaponval","Rue de Chaponval 95430 Auvers-sur-Oise","5"
"StopArea:DUA8727619","Garges-les-Gonesse - Sarcelles","Boulevard Maurice Thorez 95140 Garges les Gonesses","4"
"StopArea:DUA8727626","Survilliers - Fosses","Place Jean Moulin 95470 Survilliers","5"
"StopArea:DUA8727638","Sarcelles - Saint-Brice-sous-Forêt","Boulevard du Docteur Galvani / Place de la Gare","4"
"StopArea:DUA8727640","Saint-Leu-d'Esserent","","100"
"StopArea:DUA8727651","Champagne-sur-Oise","Rue Louis Pasteur 95660 Champgne-sur-Oise","5"
"StopArea:DUA8727658","Ermont","Rue de la Halte 95120 Ermont","4"
"StopArea:DUA8727659","Gros Noyer Saint-Prix","Rue du gros Noyer 95120 Ermont","4"
"StopArea:DUA8733294","Monnerville","","5"
"StopArea:DUA8733798","Saint-Ouen-l'Aumône Liesse","","4"
"StopArea:DUA8738122","Chaumont-en-Vexin","","100"
"StopArea:DUA8738123","Trie-Château","","100"
"StopArea:DUA8738162","Bréval","Avenue Noël Duchesne 78980 Bréval","5"
